"Academic Institutions (Category of AI wise) As on July 31, 2020",,,
12167,Aryans Business School,Punjab,Other institutions -PGDM Institutes
11010,"Indian Institute of Management, Amritsar",Punjab,Other institutions -PGDM Institutes
11153,Ch. Charan Singh National Institute of Agricultural Marketing,Rajasthan,Other institutions -PGDM Institutes
11156,Institute of Rural Management,Rajasthan,Other institutions -PGDM Institutes
30127,Jagan Institute of Management Studies,Rajasthan,Other institutions -PGDM Institutes
12069,"Taxila Business School, Mansarovar",Rajasthan,Other institutions -PGDM Institutes
30100,"Vyas Institute of Management, Jodhpur",Rajasthan,Other institutions -PGDM Institutes
11169,Great Lakes Institute of Management,Tamil Nadu,Other institutions -PGDM Institutes
11179,Loyola Institute of Business Administration,Tamil Nadu,Other institutions -PGDM Institutes
30144,Madras School Of Economics,Tamil Nadu,Other institutions -PGDM Institutes
30054,Thiagarajar School Of Management,Tamil Nadu,Other institutions -PGDM Institutes
30134,Xavier Institute of Management & Entrepreneurship,Tamil Nadu,Other institutions -PGDM Institutes
12003,Administrative Staff College of India,Telangana,Other institutions -PGDM Institutes
30051,Carlton Business School,Telangana,Other institutions -PGDM Institutes
12030,Engineering Staff College of India,Telangana,Other institutions -PGDM Institutes
30056,Guru Nanak Institutions Technical Campus,Telangana,Other institutions -PGDM Institutes
12124,Institute Of Insurance and Risk Management,Telangana,Other institutions -PGDM Institutes
12076,Institute of Management Technology,Telangana,Other institutions -PGDM Institutes
12070,Institute of Public Enterprise,Telangana,Other institutions -PGDM Institutes
11198,Vignana Jyothi Institute of Management,Telangana,Other institutions -PGDM Institutes
11207,Vishwa Vishwani Institute of Systems and Mangement,Telangana,Other institutions -PGDM Institutes
30020,Woxsen School of Business,Telangana,Other institutions -PGDM Institutes
12004,Dhruva College of Management,Telangana,Other institutions -PGDM Institutes
11188,Accman Institute of Management,Uttar Pradesh,Other institutions -PGDM Institutes
30141,Accurate Institute of Management & Technology,Uttar Pradesh,Other institutions -PGDM Institutes
12071,"Asian Business Schooln,Noida",Uttar Pradesh,Other institutions -PGDM Institutes
30037,"Bhagwati Institute of Technology & Science, Ghaziabad",Uttar Pradesh,Other institutions -PGDM Institutes
30047,"Bhalchandra Institute of Education And Management,Lucknow",Uttar Pradesh,Other institutions -PGDM Institutes
11201,"Birla Institute of Management Technology, Greater Noida",Uttar Pradesh,Other institutions -PGDM Institutes
30042,"Central Institute of Management & Technology, Lucknow",Uttar Pradesh,Other institutions -PGDM Institutes
11206,Centre For Management Development,Uttar Pradesh,Other institutions -PGDM Institutes
12102,"Christ Institute of Management, Ghaziabad",Uttar Pradesh,Other institutions -PGDM Institutes
11208,C-MAT Business School,Uttar Pradesh,Other institutions -PGDM Institutes
11211,"College of Management Studies IILM, Academy Of Higher Learning",Uttar Pradesh,Other institutions -PGDM Institutes
11215,"Dr. Gaur Singhania Institute of Management and Research, Kanpur",Uttar Pradesh,Other institutions -PGDM Institutes
30036,Future Institute Of Management & Technology,Uttar Pradesh,Other institutions -PGDM Institutes
11219,G L Bajaj Institute of Management Studies,Uttar Pradesh,Other institutions -PGDM Institutes
30137,"Great Lakes Institute of Management, Gurgaon",Uttar Pradesh,Other institutions -PGDM Institutes
30138,"Great Lakes Institute of Management, NCR",Uttar Pradesh,Other institutions -PGDM Institutes
30070,Harlal Institute Of Management & Technology,Uttar Pradesh,Other institutions -PGDM Institutes
11227,I Business Institute,Uttar Pradesh,Other institutions -PGDM Institutes
11229,"IEM Institute of Business Management,Barabanki",Uttar Pradesh,Other institutions -PGDM Institutes
11230,IILM Academy of Higher Learning Lucknow,Uttar Pradesh,Other institutions -PGDM Institutes
11231,IILM Graduate School of Management,Uttar Pradesh,Other institutions -PGDM Institutes
11239,"Institute of Management Research and Technology, (IMRT), Lucknow",Uttar Pradesh,Other institutions -PGDM Institutes
11240,"Institute of Management Studies, Ghaziabad",Uttar Pradesh,Other institutions -PGDM Institutes
30091,"Institute of Management Studies, Noida,  UP",Uttar Pradesh,Other institutions -PGDM Institutes
11233,Institute of Management Technology Ghaziabad,Uttar Pradesh,Other institutions -PGDM Institutes
11241,"Institute of Productivity & Management,Meerut",Uttar Pradesh,Other institutions -PGDM Institutes
11242,Institute of Productivity and Management Ghaziabad,Uttar Pradesh,Other institutions -PGDM Institutes
30079,"Institute of Professional Excellence and Management, Ghaziabad",Uttar Pradesh,Other institutions -PGDM Institutes
30084,"Institute of Techology and Science, Ghaziabad",Uttar Pradesh,Other institutions -PGDM Institutes
30076,"Isabella Thoburn College, Professional Studies",Uttar Pradesh,Other institutions -PGDM Institutes
30133,ITM School of Management,Uttar Pradesh,Other institutions -PGDM Institutes
30025,Jagran Institute of Management,Uttar Pradesh,Other institutions -PGDM Institutes
11251,Jaipuria Institute of Management - Lucknow,Uttar Pradesh,Other institutions -PGDM Institutes
11172,"Jaipuria Institute of Management, Noida",Uttar Pradesh,Other institutions -PGDM Institutes
11250,"Jaipuria School of Business, Gaziabad",Uttar Pradesh,Other institutions -PGDM Institutes
30108,"JMS Group of Institutions, Hapur",Uttar Pradesh,Other institutions -PGDM Institutes
11178,Lal Bahadur Shastri Institute of Management and Technology,Uttar Pradesh,Other institutions -PGDM Institutes
30044,Noida Institute Of Engineering And Technology (Mca Institute),Uttar Pradesh,Other institutions -PGDM Institutes
11183,Northern Institute for Integrated Learning in Management(NIILM),Uttar Pradesh,Other institutions -PGDM Institutes
30039,"NTPC School of Business, Noida",Uttar Pradesh,Other institutions -PGDM Institutes
30130,R S D Academy (Girls Degree College),Uttar Pradesh,Other institutions -PGDM Institutes
30131,"Rameshwaram Institute of Technology & Management, Lucknow",Uttar Pradesh,Other institutions -PGDM Institutes
30132,RSD Academy (College of Management & Technology),Uttar Pradesh,Other institutions -PGDM Institutes
30082,"Shri Ram Murti Smarak International Business School, Unnao",Uttar Pradesh,Other institutions -PGDM Institutes
30143,Sitapur Shiksha Sansthan Group Of Institutions,Uttar Pradesh,Other institutions -PGDM Institutes
10964,"Sri Sharda Institute of Management and Technology, Lucknow",Uttar Pradesh,Other institutions -PGDM Institutes
30075,Uttam Institute of Management studies Agra,Uttar Pradesh,Other institutions -PGDM Institutes
11290,Vidya International School of Business,Uttar Pradesh,Other institutions -PGDM Institutes
11296,Doon Business School,Uttarakhand,Other institutions -PGDM Institutes
30105,Institute of Management Education & Consultancy,Uttarakhand,Other institutions -PGDM Institutes
30145,Phonics Group Of Institutions,Uttarakhand,Other institutions -PGDM Institutes
11298,Calcutta Business School,West Bengal,Other institutions -PGDM Institutes
12090,Globsyn Business School,West Bengal,Other institutions -PGDM Institutes
30035,IMS Business School,West Bengal,Other institutions -PGDM Institutes
11299,Indian Institute of Social Weflfare & Business Management,West Bengal,Other institutions -PGDM Institutes
30027,Institute of Engineering & Management,West Bengal,Other institutions -PGDM Institutes
30028,Management Development Institute Murshidabad,West Bengal,Other institutions -PGDM Institutes
30031,Praxis Business School,West Bengal,Other institutions -PGDM Institutes
10035,Apex Professional University,Arunachal Pradesh,Private University
10036,Arunachal University of Studies,Arunachal Pradesh,Private University
10037,"Indira Gandhi Technological and Medical Sciences University, Ziro",Arunachal Pradesh,Private University
10093,"Dr. C. V. Raman University, Kota Bilaspur",Chhatisgarh,Private University
10919,ISBM University,Chhatisgarh,Private University
10110,"MATS University, Raipur",Chhatisgarh,Private University
10107,ITM UNIVERSITY,Chhattisgarh,Private University
10213,Ansal University,Delhi,Private University
10933,Anant National University,Gujarat,Private University
30085,"Atmiya University, Rajkot",Gujarat,Private University
10195,"C.U. Shah University, Surendranagar",Gujarat,Private University
10161,"Charotar University of Science & Technology,  Anand",Gujarat,Private University
30153,"Indrashil University, Rajpur",Gujarat,Private University
10171,Indus University,Gujarat,Private University
10935,Karnavati University,Gujarat,Private University
10156,"Lakulish Yoga University, Ahmedabad",Gujarat,Private University
10404,"Maharishi Mahesh Yogi Vedic Vishwavidyalaya, Jabalpur",Gujarat,Private University
10936,Marwadi University,Gujarat,Private University
10157,"Nirma University, Ahmedabad",Gujarat,Private University
10189,"R. K. University, Rajkot",Gujarat,Private University
30092,"Swarnim Startup & Innovation University, Gandhinagar",Gujarat,Private University
10203,"Team Lease Skills University Vadodara, Gujarat",Gujarat,Private University
10212,Amity University Haryana,Haryana,Private University
10214,"Apeejay Stya University, Gurgaon",Haryana,Private University
30066,IILM University,Haryana,Private University
10224,"Jagan Nath Univerity, Haryana",Haryana,Private University
10231,"M V N University, Palwal",Haryana,Private University
30148,"Om Sterling Global University,Haryana",Haryana,Private University
10243,"SRM University, Delhi-NCR,Sonepat",Haryana,Private University
30045,World University of Design,Haryana,Private University
10251,"Abhilashi University, Mandi",Himachal Pradesh,Private University
10247,Arni University,Himachal Pradesh,Private University
10256,Baddi University of Emerging Sciences & Technology,Himachal Pradesh,Private University
10244,"Career Point University, Hamirpur",Himachal Pradesh,Private University
10258,"Chitkara University, Himachal Pradesh",Himachal Pradesh,Private University
10255,"Eternal University, Baru Sahib Sirmour",Himachal Pradesh,Private University
10268,"Indus International University, Bathu, Una",Himachal Pradesh,Private University
10262,"Jaypee University of Information Technology, Solan",Himachal Pradesh,Private University
10727,"Jaypee University, Anoopshahr",Himachal Pradesh,Private University
10264,"Maharishi Markendehwar University, Solan",Himachal Pradesh,Private University
10266,"Shoolini University of Bio Technology and Management Sciences, Oachghat,Solan",Himachal Pradesh,Private University
30043,Arka Jain University,Jharkhand,Private University
10291,Jharkhand Rai University,Jharkhand,Private University
30078,Sarala Birla University,Jharkhand,Private University
10299,Alliance University. Bangalore,Karnataka,Private University
10952,Garden City University,Karnataka,Private University
10955,KLE Technological University,Karnataka,Private University
10310,"PES University, Bangalore",Karnataka,Private University
10957,"Srinivas University, Mangaluru",Karnataka,Private University
30068,Sharnbasva University,Karnataka,Private University
10391,"Amity University, Gwalior",Madhya Pradesh,Private University
30088,"Bhabha University, Bhopal",Madhya Pradesh,Private University
10922,"Dr. A.P.J. Abdul Kalam University, Indore",Madhya Pradesh,Private University
10378,"Jagran Lakecity University, Bhopal",Madhya Pradesh,Private University
10390,"Jaypee University of Engineering and Technology, Guna",Madhya Pradesh,Private University
30104,Madhyanchal Professional University,Madhya Pradesh,Private University
10926,Malwanchal University,Madhya Pradesh,Private University
10402,"Oriental University, Indore",Madhya Pradesh,Private University
10384,Peoples University,Madhya Pradesh,Private University
10386,RKDF University,Madhya Pradesh,Private University
30124,"Sardar Patel University, Balaghat",Madhya Pradesh,Private University
10387,"Sarvepalli Radhakrishan University, Bhopal",Madhya Pradesh,Private University
10931,Shri Vaishnav Vidyapeeth Vishwavidyalaya,Madhya Pradesh,Private University
10942,"Dr Vishwanath Karad MIT World Peace University, Pune",Maharashtra,Private University
30102,Manipur International University,Manipur,Private University
10479,University of Science and Technology,Meghalaya,Private University
10485,"The Global Open University Nagaland, Dimapur",Nagaland,Private University
10913,Birla Global University,Odisha,Private University
10492,Centurion University of Technology and Management,Odisha,Private University
30135,"Gandhi Institute of Engineering & Technology University, Gunupur",Odisha,Private University
10506,"Xavier University, Bhubaneswar",Odisha,Private University
10517,Adesh University,Punjab,Private University
10855,C.T. University,Punjab,Private University
10538,Chandigarh University,Punjab,Private University
10533,"Chitkara University, Punjab",Punjab,Private University
10526,DAV University,Punjab,Private University
10528,GNA University,Punjab,Private University
10858,RIMT University,Punjab,Private University
10560,"Amity University, Jaipur",Rajasthan,Private University
30049,Bhartiya Skill Development University,Rajasthan,Private University
30117,"Bikaner Technical University, Bikaner",Rajasthan,Private University
10612,Geetanjali University,Rajasthan,Private University
10569,J. K. Lakshmipat University,Rajasthan,Private University
12116,"Jayoti Vidyapeeth Women's University, Jaipur",Rajasthan,Private University
10568,JECRC University,Rajasthan,Private University
30156,"Lords University, Alwar",Rajasthan,Private University
10875,"R.N.B. Global University,Bikaner",Rajasthan,Private University
10551,"Sangam University, Bhilwara",Rajasthan,Private University
10588,"Shri Jagdish Prasad Jhabarmal Tibrewala University, Jhunjhunu",Rajasthan,Private University
10589,"Singhania University, Jhunjhunu",Rajasthan,Private University
10617,"Sir Padampat Singhania University, Udaipur",Rajasthan,Private University
10584,University of Engineering and Management,Rajasthan,Private University
10619,"Sikkim Manipal University, Gangtok",Sikkim,Private University
10238,Ashoka University,Uttar Pradesh,Private University
10881,"Bennett University, Noida",Uttar Pradesh,Private University
10882,Era University,Uttar Pradesh,Private University
10733,Galgotias University,Uttar Pradesh,Private University
10764,"GLA University, Mathura",Uttar Pradesh,Private University
10756,"Integral University, Lucknow",Uttar Pradesh,Private University
10731,"J.S. University, Shikohabad",Uttar Pradesh,Private University
10715,"Mangalayatan University, Aligarh",Uttar Pradesh,Private University
10774,"Mohammad Ali Jauhar University, Rampur",Uttar Pradesh,Private University
10736,Noida International University,Uttar Pradesh,Private University
10889,"Sanskriti University, Mathura",Uttar Pradesh,Private University
10737,"Sharda University, Gautam Budh Nagar",Uttar Pradesh,Private University
10776,"Shobhit University, Gangoh",Uttar Pradesh,Private University
10745,"Sri Venkateshwara University, Gajraula, J.P Nagar",Uttar Pradesh,Private University
30055,"Bhagwant Global University, Kotdwar",Uttarakhand,Private University
10784,"Dehradun Institute of Technology University, Dehradun",Uttarakhand,Private University
10790,"Himgiri Zee University, Dehradun",Uttarakhand,Private University
10791,IMS Unison University,Uttarakhand,Private University
12190,"Quantum University, Mandawar",Uttarakhand,Private University
10792,"The ICFAI University, Dehradun",Uttarakhand,Private University
10805,"University of Patanjali, Haridwar",Uttarakhand,Private University
10839,"Amity University, Kolkata",West Bengal,Private University
10815,Seacom Skills University,West Bengal,Private University
10903,St. Xavier's University,West Bengal,Private University
10905,The Neotia University,West Bengal,Private University
30061,"Government Polytechnic, Kolhapur",Maharashtra,Standalone institute - Technical/Polytechnic
30046,"Government Polytechnic, Nashik",Maharashtra,Standalone institute - Technical/Polytechnic
30071,"St. Xavier's Technical Institute, Mumbai",Maharashtra,Standalone institute - Technical/Polytechnic
10017,Acharya Nagarjuna University,Andhra Pradesh,State University
10028,"Andhra University, Visakhapatnam",Andhra Pradesh,State University
10001,"Jawaharlal Nehru Technological University, Anantapur",Andhra Pradesh,State University
10016,"Jawaharlal Nehru Technological University, Kakinada",Andhra Pradesh,State University
10022,Krishna University,Andhra Pradesh,State University
10025,Rayalaseema University: Kurnool,Andhra Pradesh,State University
10009,"Sri Padmavathi Mahila Visva Vidyalayam, Tirupathi",Andhra Pradesh,State University
10010,"Sri Venkateswara Institute of Medical Sciences, Tirupathi",Andhra Pradesh,State University
10011,"Sri Venkateswara University, Tirupathy",Andhra Pradesh,State University
10013,"Sri Venkateswara Veterinary University, Tirupathi",Andhra Pradesh,State University
10034,"Yogi Vemana University, Kadapa",Andhra Pradesh,State University
10047,"Assam Agricultural University, Jorhat",Assam,State University
10055,Assam Science and Technology University,Assam,State University
10048,Assam Women's University,Assam,State University
10060,Bodoland University,Assam,State University
10051,"Gauhati University, Guwahati",Assam,State University
10053,"Krishna Kanta Hanidiqui State Open University, Guwahati",Assam,State University
10058,National Law University and Judicial Academy,Assam,State University
10059,"Srimanta Sankaradeva University of Health Sciences, Guwahati",Assam,State University
10072,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",Bihar,State University
10071,"Bhupendra Narayan Mandal University, Madhepura",Bihar,State University
10078,Chanakya National Law University,Bihar,State University
10069,"Lalit Narayan Mithila University, Darbhanga",Bihar,State University
10070,"Magadh University, Bodh Gaya",Bihar,State University
10081,"Maulana Mazharul Haque Arabic & Persian University, Patna",Bihar,State University
10082,"Nalanda Open University, Patna",Bihar,State University
10084,"Patna University, Patna",Bihar,State University
10066,T.M.Bhagalpur University,Bihar,State University
10067,"Veer Kunwar Singh University, Arrah",Bihar,State University
10088,"Panjab University,Chandigarh",Chandigarh,State University
10104,"Ayush and Health Science University of Chattisgarh, Raipur (Pt. DeendayalUpadhyay Memorial health science and ayush University of chattisgarh)",Chhatisgarh,State University
10092,Bilaspur Vishwavidyala,Chhatisgarh,State University
10097,Chhattisgarh Kamdhenu Vishwavidalaya,Chhatisgarh,State University
10105,"Hidayatullah National Law University, Raipur",Chhatisgarh,State University
10106,"Indira Gandhi Krishi Vishwavidyalaya, Raipur",Chhatisgarh,State University
10113,"Indira Kala Sangit Vishwavidyalaya, Khairagarh",Chhatisgarh,State University
10109,"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur",Chhatisgarh,State University
10112,"Pt. Ravishankar Shukla University, Raipur",Chhatisgarh,State University
10096,Pt. Sundarlal Sharma (Open) University,Chhatisgarh,State University
10114,"Sarguja University, Ambikapur",Chhatisgarh,State University
10865,Delhi Pharmaceutical Sciences And Research University,Delhi,State University
10130,"Indraprastha Institute of Information Technology, Delhi",Delhi,State University
10142,"Goa University, Goa",Goa,State University
10160,"Anand Agricultural University, Anand",Gujarat,State University
10178,"Bhakta Kavi Narsinh Mehta University, Junagadh",Gujarat,State University
10151,"Gujarat University, Ahmedabad",Gujarat,State University
10170,"Indian Institute of Teacher Education, Gandhinagar",Gujarat,State University
10155,Institute of Infrastructure Technology Research and Management,Gujarat,State University
10179,Junagadh Agricultural University,Gujarat,State University
10174,"Kamdhenu University, Gandhinagar",Gujarat,State University
10181,"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh",Gujarat,State University
10164,Maharaja Krishnakumarsinhji Bhavnagar University,Gujarat,State University
10185,Navsari Agricultural University,Gujarat,State University
10159,"Rakshashakti University, Gujarat",Gujarat,State University
10162,"Sardar Patel University, Vallabh Vidyanagar",Gujarat,State University
10163,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",Gujarat,State University
10190,"Saurashtra University, Rajkot",Gujarat,State University
10176,Swarnim Gujarat Sports University,Gujarat,State University
10194,Veer Narmad South Gujarat University,Gujarat,State University
10237,"Ch. Devi Lal University, Sirsa",Haryana,State University
10225,"Chaudhary Ranbir Singh University, Jind",Haryana,State University
10240,Deenbandhu Chhotu Ram University of Science and Technology,Haryana,State University
30147,"Gurugram University, Haryana",Haryana,State University
10232,"Indira Gandhi University, Meerpur",Haryana,State University
10228,"Kurukshetra University, Kurukshetra",Haryana,State University
10234,"Maharshi Dayanand University, Rohtak",Haryana,State University
10249,"Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya,Palampur",Himachal Pradesh,State University
10259,"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan",Himachal Pradesh,State University
10245,"Himachal Pradesh Technical University, Hamirpur",Himachal Pradesh,State University
10272,"Baba Ghulam Shah Badshah University,  Jammu",Jammu and Kashmir,State University
10852,Cluster University of Jammu,Jammu and Kashmir,State University
10853,"Cluster University, Srinagar",Jammu and Kashmir,State University
10271,"Islamic University of Science & Technology, Pulwama",Jammu and Kashmir,State University
10269,"Sher-e-Kashmir University of Agricultural Science & Technology, Jammu",Jammu and Kashmir,State University
10288,"Birsa Agricultural University, Ranchi",Jharkhand,State University
30136,"Dr. Shyama Prasad Mukherjee University, Ranchi, Jharkhand",Jharkhand,State University
10910,"Jharkhand Raksha Shakti University, Ranchi",Jharkhand,State University
10286,"Kolhan University,  West Singhbhum",Jharkhand,State University
10293,"National University of Study & Research in Law, Ranchi",Jharkhand,State University
10285,"Nilamber-Pitamber University, Palamu",Jharkhand,State University
10294,"Ranchi University, Ranchi",Jharkhand,State University
10282,"Sido Kanhu Murmu University, Dumka",Jharkhand,State University
30008,Bangalore Central University,Karnataka,State University
10300,Bangalore University,Karnataka,State University
10338,"Gulbarga University, Gulbarga",Karnataka,State University
10322,"Kannada University, Hampi, Kamalapura",Karnataka,State University
10334,"Karnatak University, Dharwad",Karnataka,State University
10343,"Karnataka State Open University, Mysore",Karnataka,State University
10327,"Mangalore University, Mangalore",Karnataka,State University
10320,"Rani Channamma University, Belagavi",Karnataka,State University
10350,"Tumkur University, Tumkur",Karnataka,State University
10336,"University  of Agricultural Sciences, Dharwad",Karnataka,State University
10345,"University  of Agricultural Sciences, Raichur",Karnataka,State University
10344,University of Mysore,Karnataka,State University
10363,A P J Abdul Kalam Technological University,Kerala,State University
10352,"Cochin University of Science & Technology, Kochi",Kerala,State University
10356,"Kannur University, Kannur",Kerala,State University
10353,"Kerala University of Fisheries & Ocean Studies, Kochi",Kerala,State University
10359,"Mahatma Gandhi University, Kottayam",Kerala,State University
10354,"National University of Advanced Legal Studies, Kochi",Kerala,State University
10355,"Shree Sankaracharya Univeristy of Sanskrit, Kalady",Kerala,State University
10361,University of Calicut,Kerala,State University
10366,"University of Kerala, Thiruvananthapuram",Kerala,State University
10409,"Awadhesh Pratap Singh University, Rewa",Madhya Pradesh,State University
10398,Devi Ahilya Vishwavidyalaya,Madhya Pradesh,State University
30154,"Dharmashastra National Law University, Jabalpur",Madhya Pradesh,State University
10923,Dr. B.R. Ambedkar University of Social Sciences,Madhya Pradesh,State University
10413,"Mahatama Gandhi Gramodaya Vishwavidyalaya, Chitrakoot, Satna",Madhya Pradesh,State University
10380,"Makhanlal Chaturvedi National University of Journalism andCommunication, Bhopal",Madhya Pradesh,State University
10382,M.P. Bhoj (Open) University,Madhya Pradesh,State University
10405,"Nanaji Deshmukh Pashu Chikitsa Vigyan Vishwavidalaya, Jabalpur",Madhya Pradesh,State University
10396,"Raja Mansingh  Tomar Music & Arts University, Gwalior",Madhya Pradesh,State University
10930,"Sanchi University of Buddhist-Indic Studies, Bhopal",Madhya Pradesh,State University
10423,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",Maharashtra,State University
10425,"North Maharashtra University, Jalgaon",Maharashtra,State University
10443,Rashtrasant Tukadoji Maharaj Nagpur University,Maharashtra,State University
10434,University Of Mumbai,Maharashtra,State University
10447,Yashwant Rao Chavan Maharashtra Open University,Maharashtra,State University
30101,Dhanamanjuri University,Manipur,State University
10493,"Berhampur University, Berhampur",Odisha,State University
10489,"National Law University, Cuttuck",Odisha,State University
30016,Odisha State Open University,Odisha,State University
10498,"Orissa University of Agriculture &  Technology, Bhubaneswar",Odisha,State University
10917,Rama Devi Women's University,Odisha,State University
10501,"Utkal University, Bhubaneswar",Odisha,State University
10516,"Guru Nanak Dev University, Amritsar",Punjab,State University
10592,"Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur",Rajasthan,State University
10869,Govind Guru Tribal University,Rajasthan,State University
10594,"Jai Narain Vyas University, Jodhpur",Rajasthan,State University
10552,"Maharaja Ganga Singh University, Bikaner",Rajasthan,State University
10613,"Maharana Pratap University of Agriculture & Technology, Udaipur",Rajasthan,State University
10545,"Maharishi Dayanand Saraswati University, Ajmer",Rajasthan,State University
10614,"Mohan Lal Sukhadia University, Uaipur",Rajasthan,State University
10580,"Rajasthan University, Jaipur",Rajasthan,State University
10601,"University of Kota, Kota",Rajasthan,State University
10603,"Vardhman Mahaveer Open University, Kota",Rajasthan,State University
30095,Sikkim State University,Sikkim,State University
10663,Alagappa University,Tamil Nadu,State University
10626,Anna University,Tamil Nadu,State University
10643,"Annamalai University, Annamalainagar",Tamil Nadu,State University
10639,"Bharathiar University, Coimbatore",Tamil Nadu,State University
10675,"Bharathidasan University, Tiruchirappalli",Tamil Nadu,State University
10679,"Manonmaniam Sundaranar University, Tirunelveli",Tamil Nadu,State University
10645,"Mother Teresa Women's University, Kodaikanal",Tamil Nadu,State University
10661,Periyar University,Tamil Nadu,State University
10634,"Tamil Nadu Dr. M.G.R. Medical University , Chennai",Tamil Nadu,State University
10635,"Tamil Nadu Open University, Chennai",Tamil Nadu,State University
10636,"Tamil Nadu Teacher Education University, Chennai",Tamil Nadu,State University
10656,"Tamilnadu Physical Education and Sports University, Chennai",Tamil Nadu,State University
10680,"Thiruvalluvar Univeristy, Vellore",Tamil Nadu,State University
10631,"University of Madras,  Chennai",Tamil Nadu,State University
10685,"Jawaharlal Nehru Technological University, Hyderabad",Telangana,State University
10704,"Kakatiya University, Warangal",Telangana,State University
10695,"Mahatma Gandhi University, Nalgonda",Telangana,State University
10687,"Osmania University, Hyderabad",Telangana,State University
10702,P.V. Narsimha Rao Telangana Veterinary University,Telangana,State University
10697,"Telangana University, Nizamabad",Telangana,State University
10897,Maharaja Bir Bikram University,Tripura,State University
10744,"Bundelkhand University, Jhansi",Uttar Pradesh,State University
10747,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur",Uttar Pradesh,State University
10763,"Dr Shakuntala Misra National Rehabilitation University, Lucknow",Uttar Pradesh,State University
10762,Dr. A.P.J. Abdul Kalam Technical University,Uttar Pradesh,State University
10734,Gautam Buddha University,Uttar Pradesh,State University
10759,"Lucknow University, Lucknow",Uttar Pradesh,State University
10742,Madan Mohan Malaviya University of Technology,Uttar Pradesh,State University
10768,"Sardar Vallabh Bhai Patel University of Agriculture & Technology, Meerut",Uttar Pradesh,State University
10766,"UP Pandit Deen Dayal Upadhyaya Veterinary University & Gau-Anusandhan Sansthan, Mathura",Uttar Pradesh,State University
10835,"Bidhan Chandra Krishi Vishwavidyalaya , Nadia",West Bengal,State University
10812,"Burdwan University, Burdwan",West Bengal,State University
10820,Cooch Behar Panchanan Barma University,West Bengal,State University
10849,Diamond Harbour Women's University,West Bengal,State University
10838,"Kalyani University, Kalyani",West Bengal,State University
10842,"Maulana Abul Kalam Azad University of Technology, West Bengal",West Bengal,State University
10826,"Netaji Subhash Open University, Kolkata",West Bengal,State University
10827,"Presidency University, Kolkata",West Bengal,State University
10828,"Rabindra Bharati University, Kolkata",West Bengal,State University
10848,Sidho-Kanho-Birsha University,West Bengal,State University
10906,The Sanskrit College and University,West Bengal,State University
10843,"The West Bengal University of Health Sciences, Kolkata",West Bengal,State University
10821,"Uttar Banga Krishi Vishwavidyalaya, Cooch Behar",West Bengal,State University
10847,"Vidyasagar University, Midnapore",West Bengal,State University
